		samlet klimaaftryk (danske fødevare)	Kilde	liter vand	Kilde	kcal pr 100g	Protein pr 100g	total-N	Fedt	mættede	monoumættede	polyumættede	Kulhydrat	tilgængelig	tilsat sukker	kostfibre	alkohol	aske	  	Kilde	kcal pr. kg Co2	Gram protein pr Kg Co2	Gram Fedt pr. Kg Co2	Gram kostfibre pr kg Co2
	Kaffe, drikkeklar (import) l) 0,3 - 26)	0,3	26			2	0,1	0	0	0	0	0	0	0	0	0	0	0,4	99,4	41	66,66666667	3,333333333	0	0
	Appelsinjuice (import) m) 1,3 - 22+36+37)	1,3	22+36+37			43	0,6	0,1	0,1	0	0	0	9,9	9,7	0	0,2	0	0,4	89	41	330,7692308	4,615384615	0,7692307692	1,538461538
	Vand på flaske 0,1 0,1 27)	0,1	27			0	0	0	0	0	0	0	0	0	0	0	0	0	100	41	0	0	0	0
	Øl n) 1,0 0,1 27+28)	1	27+28	296	41	27	0,2	0	0	0	0	0	2,7	2,7	0	0	2,1	0,1	94,9	41	270	2	0	0
	Vin (import) o) 2,4 - 29+30) Rød	2,4	29+30	436	41	75	0,2	0	0	0	0	0	1,5	1,5	0	0	9,5	0,3	87,5	41	312,5	0,8333333333	0	0
	Vin (import) o) 2,4 - 29+30) Hvid	2,4	29+30	436	41	81	0,1	0	0	0	0	0	2,4	2,4	0	0	9,9	0,2	87,5	41	337,5	0,4166666667	0	0
	Andet																							
	Sukker p) 1,0 0,2 7)	1	7			406	0	0	0	0	0	0	99,9	99,9	99,9	0	0	0	0,1	41	4060	0	0	0
	Rørsukker	1,2	40																					
	Slik (vingummi Co2) 2,3 0,2 31)	2,3	31			354	6,6	1,1	0,9	0	0	0	78,6	78,6	40,6	0	0	0,2	13,7	41	1539,130435	28,69565217	3,913043478	0
	Chokolade, mørk (import) q) 0,9 - 32)	0,9	32	17196	41	543	5,7	0,9	29,1	17,4	9,4	0,9	63,3	62,4	55,9	0,9	0	1,3	0,7	41	6033,333333	63,33333333	323,3333333	10
	Chokolade, lys (import) 2,7 - 32)	2,7	32	17196	41	550	7,1	1,1	31,3	18,5	9,8	1,1	58,6	59,2	49,5	0,4	0	1,8	1,3	41	2037,037037	26,2962963	115,9259259	1,481481481
	Tomatketchup 1,2 0,2 33)	1,2	33			115	3	0,5	2,4	0,4	0,3	1,2	21,7	18,4	7,6	3,3	0	1,4	71,5	41	958,3333333	25	20	27,5
